request_id,field,predicted,expected,amount_safe_pred,amount_safe_expected,earliest_pred,earliest_expected,runner_up_rule,candidates,validation_error,pipeline_error,explanation
request_02,earliest_date_for_full_payment,2025-09-13,2025-09-15,20218138.63,17229139.2,2025-09-13,2025-09-15,,installments[payment_option_05] n=3 start=2025-08-08 total=47858720.01 deadline=y changes=0 -> winner || wait[-] n=1 start=2025-09-13 total=46018000 deadline=y changes=0 -> ineligible: wait needs an earliest date and full_payment accepted || installments[payment_option_07] n=18 start=2025-08-12 total=52460519.94 deadline=n changes=0 -> ineligible: 18 payments > max_installment_months 7,,,"Use 3 installments of IDR 15,952,906.67, starting 8 August 2025. This leaves at least IDR 29,158,400 available."
request_02,amount_safe_to_pay,20218138.63,17229139.2,20218138.63,17229139.2,2025-09-13,2025-09-15,,installments[payment_option_05] n=3 start=2025-08-08 total=47858720.01 deadline=y changes=0 -> winner || wait[-] n=1 start=2025-09-13 total=46018000 deadline=y changes=0 -> ineligible: wait needs an earliest date and full_payment accepted || installments[payment_option_07] n=18 start=2025-08-12 total=52460519.94 deadline=n changes=0 -> ineligible: 18 payments > max_installment_months 7,,,"Use 3 installments of IDR 15,952,906.67, starting 8 August 2025. This leaves at least IDR 29,158,400 available."
request_03,earliest_date_for_full_payment,2019-11-13,2019-11-15,1093118.58,873000,2019-11-13,2019-11-15,,wait[-] n=1 start=2019-11-13 total=5491000 deadline=y changes=0 -> winner || installments[payment_option_09] n=21 start=2019-09-17 total=6479379.9 deadline=n changes=0 -> ineligible: 21 payments > max_installment_months 2 || installments[payment_option_10] n=24 start=2019-09-06 total=6699019.92 deadline=n changes=0 -> ineligible: 24 payments > max_installment_months 2,,,"Pay IDR 5,491,000 in full on 13 November 2019. Paying earlier would take the balance below the IDR 2,668,700 minimum."
request_03,payment_plan,2019-11-13:5491000,2019-11-15:5491000,1093118.58,873000,2019-11-13,2019-11-15,,wait[-] n=1 start=2019-11-13 total=5491000 deadline=y changes=0 -> winner || installments[payment_option_09] n=21 start=2019-09-17 total=6479379.9 deadline=n changes=0 -> ineligible: 21 payments > max_installment_months 2 || installments[payment_option_10] n=24 start=2019-09-06 total=6699019.92 deadline=n changes=0 -> ineligible: 24 payments > max_installment_months 2,,,"Pay IDR 5,491,000 in full on 13 November 2019. Paying earlier would take the balance below the IDR 2,668,700 minimum."
request_03,amount_safe_to_pay,1093118.58,873000,1093118.58,873000,2019-11-13,2019-11-15,,wait[-] n=1 start=2019-11-13 total=5491000 deadline=y changes=0 -> winner || installments[payment_option_09] n=21 start=2019-09-17 total=6479379.9 deadline=n changes=0 -> ineligible: 21 payments > max_installment_months 2 || installments[payment_option_10] n=24 start=2019-09-06 total=6699019.92 deadline=n changes=0 -> ineligible: 24 payments > max_installment_months 2,,,"Pay IDR 5,491,000 in full on 13 November 2019. Paying earlier would take the balance below the IDR 2,668,700 minimum."
request_04,affordability_status,affordable_now,affordable_later,12693000,8401800,2024-06-04,2024-06-15,,full_payment[payment_option_11] n=1 start=2024-06-04 total=12693000 deadline=y changes=0 -> winner || installments[payment_option_12] n=15 start=2024-06-04 total=13137255 deadline=n changes=0 -> ineligible: installments not in payment_methods_user_will_consider,,,"Pay IDR 12,693,000 today. This leaves at least IDR 30,686,600 available over the next 90 days."
request_04,recommended_payment_method,full_payment,wait,12693000,8401800,2024-06-04,2024-06-15,,full_payment[payment_option_11] n=1 start=2024-06-04 total=12693000 deadline=y changes=0 -> winner || installments[payment_option_12] n=15 start=2024-06-04 total=13137255 deadline=n changes=0 -> ineligible: installments not in payment_methods_user_will_consider,,,"Pay IDR 12,693,000 today. This leaves at least IDR 30,686,600 available over the next 90 days."
request_04,earliest_date_for_full_payment,2024-06-04,2024-06-15,12693000,8401800,2024-06-04,2024-06-15,,full_payment[payment_option_11] n=1 start=2024-06-04 total=12693000 deadline=y changes=0 -> winner || installments[payment_option_12] n=15 start=2024-06-04 total=13137255 deadline=n changes=0 -> ineligible: installments not in payment_methods_user_will_consider,,,"Pay IDR 12,693,000 today. This leaves at least IDR 30,686,600 available over the next 90 days."
request_04,payment_plan,2024-06-04:12693000,2024-06-15:12693000,12693000,8401800,2024-06-04,2024-06-15,,full_payment[payment_option_11] n=1 start=2024-06-04 total=12693000 deadline=y changes=0 -> winner || installments[payment_option_12] n=15 start=2024-06-04 total=13137255 deadline=n changes=0 -> ineligible: installments not in payment_methods_user_will_consider,,,"Pay IDR 12,693,000 today. This leaves at least IDR 30,686,600 available over the next 90 days."
request_04,amount_safe_to_pay,12693000,8401800,12693000,8401800,2024-06-04,2024-06-15,,full_payment[payment_option_11] n=1 start=2024-06-04 total=12693000 deadline=y changes=0 -> winner || installments[payment_option_12] n=15 start=2024-06-04 total=13137255 deadline=n changes=0 -> ineligible: installments not in payment_methods_user_will_consider,,,"Pay IDR 12,693,000 today. This leaves at least IDR 30,686,600 available over the next 90 days."
request_05,affordability_status,affordable_now,not_affordable,15488,737,2025-11-06,,,full_payment[payment_option_13] n=1 start=2025-11-06 total=15488 deadline=y changes=0 -> winner || installments[payment_option_14] n=18 start=2025-11-09 total=17656.38 deadline=n changes=0 -> ineligible: 18 payments > max_installment_months 4 || installments[payment_option_15] n=24 start=2025-11-20 total=18895.44 deadline=n changes=0 -> ineligible: 24 payments > max_installment_months 4,,,"Pay ZAR 15,488 today. This leaves at least ZAR 13,100 available over the next 90 days."
request_05,recommended_payment_method,full_payment,not_recommended,15488,737,2025-11-06,,,full_payment[payment_option_13] n=1 start=2025-11-06 total=15488 deadline=y changes=0 -> winner || installments[payment_option_14] n=18 start=2025-11-09 total=17656.38 deadline=n changes=0 -> ineligible: 18 payments > max_installment_months 4 || installments[payment_option_15] n=24 start=2025-11-20 total=18895.44 deadline=n changes=0 -> ineligible: 24 payments > max_installment_months 4,,,"Pay ZAR 15,488 today. This leaves at least ZAR 13,100 available over the next 90 days."
request_05,earliest_date_for_full_payment,2025-11-06,,15488,737,2025-11-06,,,full_payment[payment_option_13] n=1 start=2025-11-06 total=15488 deadline=y changes=0 -> winner || installments[payment_option_14] n=18 start=2025-11-09 total=17656.38 deadline=n changes=0 -> ineligible: 18 payments > max_installment_months 4 || installments[payment_option_15] n=24 start=2025-11-20 total=18895.44 deadline=n changes=0 -> ineligible: 24 payments > max_installment_months 4,,,"Pay ZAR 15,488 today. This leaves at least ZAR 13,100 available over the next 90 days."
request_05,payment_plan,2025-11-06:15488,none,15488,737,2025-11-06,,,full_payment[payment_option_13] n=1 start=2025-11-06 total=15488 deadline=y changes=0 -> winner || installments[payment_option_14] n=18 start=2025-11-09 total=17656.38 deadline=n changes=0 -> ineligible: 18 payments > max_installment_months 4 || installments[payment_option_15] n=24 start=2025-11-20 total=18895.44 deadline=n changes=0 -> ineligible: 24 payments > max_installment_months 4,,,"Pay ZAR 15,488 today. This leaves at least ZAR 13,100 available over the next 90 days."
