request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,"Pay IDR 15,656,000 today. This leaves at least IDR 24,768,300 available over the next 90 days."
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,"Pay ZAR 6,670 today. This leaves at least ZAR 20,500 available over the next 90 days."
request_28,380.63,affordable_later,wait,2024-07-14:1302.40,2024-07-14,none,"Pay EUR 1,302.40 in full on 14 July 2024. Paying earlier would take the balance below the EUR 1,100 minimum."
request_29,28597.9,not_affordable,not_recommended,none,,none,"Do not make this payment by 23 November 2025. None of the available options keeps the ZAR 28,300 minimum protected."
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,"Use 3 installments of USD 268.74, starting 6 April 2026. This leaves at least USD 900 available."
request_31,5622969.36,affordable_later,wait,2024-10-14:18164000,2024-10-14,none,"Pay IDR 18,164,000 in full on 14 October 2024. Paying earlier would take the balance below the IDR 16,588,900 minimum."
request_32,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 April 2025. None of the available options keeps the ZAR 35,700 minimum protected."
request_33,51705.73,affordable_later,wait,2026-01-14:118000,2026-01-14,none,"Pay INR 118,000 in full on 14 January 2026. Paying earlier would take the balance below the INR 102,100 minimum."
request_34,129400,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,"Pay INR 129,400 today. This leaves at least INR 138,500 available over the next 90 days."
request_35,56611.78,affordable_later,wait,2025-12-16:212000,2025-12-16,none,"Pay INR 212,000 in full on 16 December 2025. Paying earlier would take the balance below the INR 106,400 minimum."
request_36,789.44,affordable_later,wait,2026-09-13:3954,2026-09-13,none,"Pay USD 3,954 in full on 13 September 2026. Paying earlier would take the balance below the USD 2,400 minimum."
request_37,6820153.1,affordable_later,wait,2024-03-17:14649000,2024-03-17,none,"Pay IDR 14,649,000 in full on 17 March 2024. Paying earlier would take the balance below the IDR 17,056,200 minimum."
request_38,264.82,affordable_later,wait,2025-09-13:971.30,2025-09-13,none,Pay EUR 971.30 in full on 13 September 2025. Paying earlier would take the balance below the EUR 400 minimum.
request_39,162675.46,affordable_later,wait,2026-04-15:208600,2026-04-15,none,"Pay INR 208,600 in full on 15 April 2026. Paying earlier would take the balance below the INR 213,400 minimum."
request_40,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 August 2024. None of the available options keeps the EUR 1,500 minimum protected."
request_41,13799523.41,affordable_later,wait,2025-11-15:38760000,2025-11-15,none,"Pay IDR 38,760,000 in full on 15 November 2025. Paying earlier would take the balance below the IDR 25,366,600 minimum."
request_42,52100,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,"Pay INR 52,100 today. This leaves at least INR 113,100 available over the next 90 days."
request_43,9868266.98,affordable_later,wait,2024-11-12:43339000,2024-11-12,none,"Pay IDR 43,339,000 in full on 12 November 2024. Paying earlier would take the balance below the IDR 21,398,000 minimum."
request_44,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 April 2025. None of the available options keeps the INR 82,900 minimum protected."
request_45,5228742.8,affordable_later,wait,2026-09-13:21983000,2026-09-13,none,"Pay IDR 21,983,000 in full on 13 September 2026. Paying earlier would take the balance below the IDR 11,149,800 minimum."
request_46,48020.38,affordable_with_plan,partial_payment,2024-12-03:48020.38|2024-12-15:1429.62,2024-12-15,none,"Pay INR 48,020.38 today and the remaining INR 1,429.62 on 15 December 2024. This completes the full request and keeps the INR 84,000 minimum protected."
request_47,38114000,affordable_now,full_payment,2025-05-05:38114000,2025-05-05,none,"Pay IDR 38,114,000 today. This leaves at least IDR 30,049,000 available over the next 90 days."
request_48,45700,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,"Pay INR 45,700 today. This leaves at least INR 71,300 available over the next 90 days."
request_49,13273779.12,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-04-17,none,"Use 3 installments of IDR 11,902,106.67, starting 18 March 2024. This leaves at least IDR 20,275,700 available."
request_50,43900,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,"Pay INR 43,900 today. This leaves at least INR 99,700 available over the next 90 days."
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,"Pay IDR 2,191,000 today. This leaves at least IDR 7,811,000 available over the next 90 days."
request_52,26530,affordable_later,wait,2024-06-16:28870,2024-06-16,none,"Pay INR 28,870 in full on 16 June 2024. Paying earlier would take the balance below the INR 41,500 minimum."
request_53,714.42,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2025-11-14,none,"Use 3 installments of USD 589.06, starting 21 November 2025. This leaves at least USD 2,100 available."
request_54,4283.87,not_affordable,not_recommended,none,,none,"Do not make this payment by 21 August 2026. None of the available options keeps the ZAR 37,000 minimum protected."
request_55,148276.01,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-06-14,none,"Use 3 installments of INR 75,781.33, starting 11 June 2026. This leaves at least INR 124,300 available."
request_56,778.66,affordable_with_plan,partial_payment,2025-02-03:778.66|2025-02-15:102.90,2025-02-15,none,"Pay USD 778.66 today and the remaining USD 102.90 on 15 February 2025. This completes the full request and keeps the USD 2,100 minimum protected."
